server,function,method,graph_path,return_resource,select_fields,select_parameter,notes,source_url,required_permissions_from_your_list
Reports,get_onedrive_usage_account_detail,GET,/reports/getOneDriveUsageAccountDetail(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
Reports,get_office365_active_user_detail,GET,/reports/getOffice365ActiveUserDetail(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
Directory,list_applications,GET,/applications,application collection,"id,appId,displayName,description,signInAudience,createdDateTime,requiredResourceAccess,web,spa,publicClient,appRoles,oauth2RequirePostResponse","?$select=id,appId,displayName,description,signInAudience,createdDateTime,requiredResourceAccess,web,spa,publicClient,appRoles,oauth2RequirePostResponse",Application objects/app registrations. Not included in the previous User server CSV.,https://learn.microsoft.com/en-us/graph/api/resources/application?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,get_application,GET,/applications/{application-id},application,"id,appId,displayName,description,signInAudience,createdDateTime,requiredResourceAccess,web,spa,publicClient,appRoles,oauth2RequirePostResponse","?$select=id,appId,displayName,description,signInAudience,createdDateTime,requiredResourceAccess,web,spa,publicClient,appRoles,oauth2RequirePostResponse",Get one app registration.,https://learn.microsoft.com/en-us/graph/api/resources/application?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,list_service_principals,GET,/servicePrincipals,servicePrincipal collection,"id,appId,displayName,servicePrincipalType,accountEnabled,appOwnerOrganizationId,createdDateTime,tags,appRoles,oauth2PermissionScopes","?$select=id,appId,displayName,servicePrincipalType,accountEnabled,appOwnerOrganizationId,createdDateTime,tags,appRoles,oauth2PermissionScopes",Enterprise applications/service principals.,https://learn.microsoft.com/en-us/graph/api/resources/serviceprincipal?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,get_service_principal,GET,/servicePrincipals/{servicePrincipal-id},servicePrincipal,"id,appId,displayName,servicePrincipalType,accountEnabled,appOwnerOrganizationId,createdDateTime,tags,appRoles,oauth2PermissionScopes","?$select=id,appId,displayName,servicePrincipalType,accountEnabled,appOwnerOrganizationId,createdDateTime,tags,appRoles,oauth2PermissionScopes",Get one service principal.,https://learn.microsoft.com/en-us/graph/api/resources/serviceprincipal?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,list_devices,GET,/devices,device collection,"id,displayName,deviceId,accountEnabled,operatingSystem,operatingSystemVersion,trustType,approximateLastSignInDateTime,isCompliant,isManaged,createdDateTime","?$select=id,displayName,deviceId,accountEnabled,operatingSystem,operatingSystemVersion,trustType,approximateLastSignInDateTime,isCompliant,isManaged,createdDateTime",Microsoft Entra device objects.,https://learn.microsoft.com/en-us/graph/api/resources/device?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,get_device,GET,/devices/{device-id},device,"id,displayName,deviceId,accountEnabled,operatingSystem,operatingSystemVersion,trustType,approximateLastSignInDateTime,isCompliant,isManaged,createdDateTime","?$select=id,displayName,deviceId,accountEnabled,operatingSystem,operatingSystemVersion,trustType,approximateLastSignInDateTime,isCompliant,isManaged,createdDateTime",Get one device.,https://learn.microsoft.com/en-us/graph/api/resources/device?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,list_directory_roles,GET,/directoryRoles,directoryRole collection,"id,displayName,description,roleTemplateId","?$select=id,displayName,description,roleTemplateId",Activated directory roles.,https://learn.microsoft.com/en-us/graph/api/resources/directoryrole?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,get_directory_role,GET,/directoryRoles/{directoryRole-id},directoryRole,"id,displayName,description,roleTemplateId","?$select=id,displayName,description,roleTemplateId",Get one directory role.,https://learn.microsoft.com/en-us/graph/api/resources/directoryrole?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,list_directory_role_members,GET,/directoryRoles/{directoryRole-id}/members/microsoft.graph.user,user collection,"id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone","?$select=id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone",Role members cast to users so user-focused $select fields apply.,https://learn.microsoft.com/en-us/graph/api/resources/user?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,get_organization,GET,/organization,organization collection,"id,displayName,tenantType,verifiedDomains,assignedPlans,provisionedPlans,businessPhones,city,country,countryLetterCode","?$select=id,displayName,tenantType,verifiedDomains,assignedPlans,provisionedPlans,businessPhones,city,country,countryLetterCode",Tenant organization information.,https://learn.microsoft.com/en-us/graph/api/resources/organization?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,list_subscribed_skus,GET,/subscribedSkus,subscribedSku collection,"id,skuId,skuPartNumber,capabilityStatus,consumedUnits,prepaidUnits,servicePlans,appliesTo","?$select=id,skuId,skuPartNumber,capabilityStatus,consumedUnits,prepaidUnits,servicePlans,appliesTo",Tenant license SKU inventory.,https://learn.microsoft.com/en-us/graph/api/resources/subscribedsku?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,list_domains,GET,/domains,domain collection,"id,isVerified,isDefault,isInitial,isRoot,isAdminManaged,supportedServices,state","?$select=id,isVerified,isDefault,isInitial,isRoot,isAdminManaged,supportedServices,state",Tenant domains.,https://learn.microsoft.com/en-us/graph/api/resources/domain?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Directory,get_domain,GET,/domains/{domain-id},domain,"id,isVerified,isDefault,isInitial,isRoot,isAdminManaged,supportedServices,state","?$select=id,isVerified,isDefault,isInitial,isRoot,isAdminManaged,supportedServices,state",Get one tenant domain.,https://learn.microsoft.com/en-us/graph/api/resources/domain?view=graph-rest-1.0,Directory.Read.All; Directory.ReadWrite.All; Directory.AccessAsUser.All
Groups,list_groups,GET,/groups,group collection,"id,displayName,description,mail,mailNickname,mailEnabled,securityEnabled,groupTypes,visibility,createdDateTime,renewedDateTime","?$select=id,displayName,description,mail,mailNickname,mailEnabled,securityEnabled,groupTypes,visibility,createdDateTime,renewedDateTime",Group list. Excluded from earlier User server except membership reference.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0,Group.Read.All; Group.ReadWrite.All; GroupMember.ReadWrite.All; Directory.Read.All; Directory.ReadWrite.All
Groups,get_group,GET,/groups/{group-id},group,"id,displayName,description,mail,mailNickname,mailEnabled,securityEnabled,groupTypes,visibility,createdDateTime,renewedDateTime","?$select=id,displayName,description,mail,mailNickname,mailEnabled,securityEnabled,groupTypes,visibility,createdDateTime,renewedDateTime",Get one group.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0,Group.Read.All; Group.ReadWrite.All; GroupMember.ReadWrite.All; Directory.Read.All; Directory.ReadWrite.All
Groups,list_group_members,GET,/groups/{group-id}/members/microsoft.graph.user,user collection,"id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone","?$select=id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone",Group members cast to users. Remove cast if you want mixed directoryObject types.,https://learn.microsoft.com/en-us/graph/api/resources/user?view=graph-rest-1.0,Group.Read.All; Group.ReadWrite.All; GroupMember.ReadWrite.All; Directory.Read.All; Directory.ReadWrite.All
Groups,list_group_transitive_members,GET,/groups/{group-id}/transitiveMembers/microsoft.graph.user,user collection,"id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone","?$select=id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone",Nested group members cast to users.,https://learn.microsoft.com/en-us/graph/api/resources/user?view=graph-rest-1.0,Group.Read.All; Group.ReadWrite.All; GroupMember.ReadWrite.All; Directory.Read.All; Directory.ReadWrite.All
Groups,list_group_owners,GET,/groups/{group-id}/owners/microsoft.graph.user,user collection,"id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone","?$select=id,displayName,givenName,surname,userPrincipalName,mail,jobTitle,officeLocation,businessPhones,mobilePhone",Group owners cast to users.,https://learn.microsoft.com/en-us/graph/api/resources/user?view=graph-rest-1.0,Group.Read.All; Group.ReadWrite.All; GroupMember.ReadWrite.All; Directory.Read.All; Directory.ReadWrite.All
Groups,create_group,POST,/groups,group,N/A,N/A,Create operation; $select is not used on POST request body.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0,Group.ReadWrite.All
Groups,update_group,PATCH,/groups/{group-id},None,N/A,N/A,Update operation; $select does not apply.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0,Group.ReadWrite.All
Groups,delete_group,DELETE,/groups/{group-id},None,N/A,N/A,Delete operation; $select does not apply.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0,Group.ReadWrite.All
Groups,add_group_member,POST,/groups/{group-id}/members/$ref,None,N/A,N/A,Relationship write operation; $select does not apply.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0,GroupMember.ReadWrite.All; Group.ReadWrite.All
Groups,remove_group_member,DELETE,/groups/{group-id}/members/{directoryObject-id}/$ref,None,N/A,N/A,Relationship delete operation; $select does not apply.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0,GroupMember.ReadWrite.All; Group.ReadWrite.All
Tasks,list_todo_lists,GET,/me/todo/lists,todoTaskList collection,"id,displayName,isOwner,isShared,wellknownListName","?$select=id,displayName,isOwner,isShared,wellknownListName",Microsoft To Do task lists.,https://learn.microsoft.com/en-us/graph/api/resources/todotasklist?view=graph-rest-1.0,Tasks.ReadWrite
Tasks,get_todo_list,GET,/me/todo/lists/{todoTaskList-id},todoTaskList,"id,displayName,isOwner,isShared,wellknownListName","?$select=id,displayName,isOwner,isShared,wellknownListName",Get one task list.,https://learn.microsoft.com/en-us/graph/api/resources/todotasklist?view=graph-rest-1.0,Tasks.ReadWrite
Tasks,list_tasks,GET,/me/todo/lists/{todoTaskList-id}/tasks,todoTask collection,"id,title,status,importance,isReminderOn,createdDateTime,lastModifiedDateTime,dueDateTime,reminderDateTime,completedDateTime,body,categories,recurrence","?$select=id,title,status,importance,isReminderOn,createdDateTime,lastModifiedDateTime,dueDateTime,reminderDateTime,completedDateTime,body,categories,recurrence",List tasks in a To Do list.,https://learn.microsoft.com/en-us/graph/api/resources/todotask?view=graph-rest-1.0,Tasks.ReadWrite
Tasks,get_task,GET,/me/todo/lists/{todoTaskList-id}/tasks/{task-id},todoTask,"id,title,status,importance,isReminderOn,createdDateTime,lastModifiedDateTime,dueDateTime,reminderDateTime,completedDateTime,body,categories,recurrence","?$select=id,title,status,importance,isReminderOn,createdDateTime,lastModifiedDateTime,dueDateTime,reminderDateTime,completedDateTime,body,categories,recurrence",Get one To Do task.,https://learn.microsoft.com/en-us/graph/api/resources/todotask?view=graph-rest-1.0,Tasks.ReadWrite
Tasks,create_task,POST,/me/todo/lists/{todoTaskList-id}/tasks,todoTask,N/A,N/A,Create operation; $select is not used in the POST request.,https://learn.microsoft.com/en-us/graph/api/resources/todotask?view=graph-rest-1.0,Tasks.ReadWrite
Tasks,update_task,PATCH,/me/todo/lists/{todoTaskList-id}/tasks/{task-id},todoTask,N/A,N/A,Update operation; $select does not apply to the PATCH request.,https://learn.microsoft.com/en-us/graph/api/resources/todotask?view=graph-rest-1.0,Tasks.ReadWrite
Tasks,delete_task,DELETE,/me/todo/lists/{todoTaskList-id}/tasks/{task-id},None,N/A,N/A,Delete operation; $select does not apply.,https://learn.microsoft.com/en-us/graph/api/resources/todotask?view=graph-rest-1.0,Tasks.ReadWrite
OneNote,list_notebooks,GET,/me/onenote/notebooks,notebook collection,"id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,userRole,isShared,links,sectionsUrl,sectionGroupsUrl","?$select=id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,userRole,isShared,links,sectionsUrl,sectionGroupsUrl",OneNote notebooks.,https://learn.microsoft.com/en-us/graph/api/resources/notebook?view=graph-rest-1.0,Notes.Read; Notes.Read.All; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp; Notes.Create
OneNote,get_notebook,GET,/me/onenote/notebooks/{notebook-id},notebook,"id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,userRole,isShared,links,sectionsUrl,sectionGroupsUrl","?$select=id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,userRole,isShared,links,sectionsUrl,sectionGroupsUrl",Get one notebook.,https://learn.microsoft.com/en-us/graph/api/resources/notebook?view=graph-rest-1.0,Notes.Read; Notes.Read.All; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp; Notes.Create
OneNote,list_sections,GET,/me/onenote/sections,onenoteSection collection,"id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,links,pagesUrl,parentNotebook","?$select=id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,links,pagesUrl,parentNotebook",OneNote sections.,https://learn.microsoft.com/en-us/graph/api/resources/onenotesection?view=graph-rest-1.0,Notes.Read; Notes.Read.All; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp; Notes.Create
OneNote,get_section,GET,/me/onenote/sections/{section-id},onenoteSection,"id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,links,pagesUrl,parentNotebook","?$select=id,displayName,self,createdDateTime,lastModifiedDateTime,isDefault,links,pagesUrl,parentNotebook",Get one OneNote section.,https://learn.microsoft.com/en-us/graph/api/resources/onenotesection?view=graph-rest-1.0,Notes.Read; Notes.Read.All; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp; Notes.Create
OneNote,list_pages,GET,/me/onenote/pages,onenotePage collection,"id,title,createdDateTime,lastModifiedDateTime,links,level,order,self,parentSection,contentUrl","?$select=id,title,createdDateTime,lastModifiedDateTime,links,level,order,self,parentSection,contentUrl",OneNote pages metadata. For page HTML content use /content.,https://learn.microsoft.com/en-us/graph/api/resources/onenotepage?view=graph-rest-1.0,Notes.Read; Notes.Read.All; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp; Notes.Create
OneNote,get_page,GET,/me/onenote/pages/{page-id},onenotePage,"id,title,createdDateTime,lastModifiedDateTime,links,level,order,self,parentSection,contentUrl","?$select=id,title,createdDateTime,lastModifiedDateTime,links,level,order,self,parentSection,contentUrl",Get one OneNote page metadata.,https://learn.microsoft.com/en-us/graph/api/resources/onenotepage?view=graph-rest-1.0,Notes.Read; Notes.Read.All; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp; Notes.Create
OneNote,get_page_content,GET,/me/onenote/pages/{page-id}/content,HTML content,N/A,N/A,"Returns the page content stream, not a JSON resource; $select does not apply.",https://learn.microsoft.com/en-us/graph/api/resources/onenotepage?view=graph-rest-1.0,Notes.Read; Notes.Read.All; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp; Notes.Create
OneNote,create_page,POST,/me/onenote/sections/{section-id}/pages,onenotePage,N/A,N/A,Create operation; $select is not used in the POST request.,https://learn.microsoft.com/en-us/graph/api/resources/onenotepage?view=graph-rest-1.0,Notes.Create; Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp
OneNote,update_page_content,PATCH,/me/onenote/pages/{page-id}/content,None,N/A,N/A,Patch page content; $select does not apply.,https://learn.microsoft.com/en-us/graph/api/resources/onenotepage?view=graph-rest-1.0,Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp
OneNote,delete_page,DELETE,/me/onenote/pages/{page-id},None,N/A,N/A,Delete operation; $select does not apply.,https://learn.microsoft.com/en-us/graph/api/resources/onenotepage?view=graph-rest-1.0,Notes.ReadWrite; Notes.ReadWrite.All; Notes.ReadWrite.CreatedByApp
Sites,search_sites,GET,/sites?search={query},site collection,"id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds","&$select=id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds",Search SharePoint sites. Existing CSV did not include Sites server.,https://learn.microsoft.com/en-us/graph/api/resources/site?view=graph-rest-1.0,Sites.Read.All
Sites,get_site,GET,/sites/{site-id},site,"id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds","?$select=id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds",Get SharePoint site metadata.,https://learn.microsoft.com/en-us/graph/api/resources/site?view=graph-rest-1.0,Sites.Read.All
Sites,get_root_site,GET,/sites/root,site,"id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds","?$select=id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds",Get tenant root site.,https://learn.microsoft.com/en-us/graph/api/resources/site?view=graph-rest-1.0,Sites.Read.All
Sites,list_subsites,GET,/sites/{site-id}/sites,site collection,"id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds","?$select=id,name,displayName,webUrl,description,createdDateTime,lastModifiedDateTime,siteCollection,root,sharepointIds",List subsites.,https://learn.microsoft.com/en-us/graph/api/resources/site?view=graph-rest-1.0,Sites.Read.All
Sites,list_site_drives,GET,/sites/{site-id}/drives,drive collection,"id,driveType,name,owner,quota,webUrl,createdDateTime,lastModifiedDateTime","?$select=id,driveType,name,owner,quota,webUrl,createdDateTime,lastModifiedDateTime",List document libraries/drives for a site.,https://learn.microsoft.com/en-us/graph/api/resources/drive?view=graph-rest-1.0,Sites.Read.All; Files.Read.All; Files.ReadWrite.All
Sites,list_site_lists,GET,/sites/{site-id}/lists,list collection,"id,displayName,name,webUrl,createdDateTime,lastModifiedDateTime,list,sharepointIds","?$select=id,displayName,name,webUrl,createdDateTime,lastModifiedDateTime,list,sharepointIds",List SharePoint lists in a site.,https://learn.microsoft.com/en-us/graph/api/resources/list?view=graph-rest-1.0,Sites.Read.All
Sites,get_site_list,GET,/sites/{site-id}/lists/{list-id},list,"id,displayName,name,webUrl,createdDateTime,lastModifiedDateTime,list,sharepointIds","?$select=id,displayName,name,webUrl,createdDateTime,lastModifiedDateTime,list,sharepointIds",Get one SharePoint list.,https://learn.microsoft.com/en-us/graph/api/resources/list?view=graph-rest-1.0,Sites.Read.All
Sites,list_list_items,GET,/sites/{site-id}/lists/{list-id}/items,listItem collection,"id,webUrl,createdDateTime,lastModifiedDateTime,contentType,sharepointIds,fields","?$select=id,webUrl,createdDateTime,lastModifiedDateTime,contentType,sharepointIds,fields","Top-level $select returns list item metadata. To select SharePoint custom columns use $expand=fields($select=Column1,Column2).",https://learn.microsoft.com/en-us/graph/api/resources/listitem?view=graph-rest-1.0,Sites.Read.All
Sites,get_list_item,GET,/sites/{site-id}/lists/{list-id}/items/{item-id},listItem,"id,webUrl,createdDateTime,lastModifiedDateTime,contentType,sharepointIds,fields","?$select=id,webUrl,createdDateTime,lastModifiedDateTime,contentType,sharepointIds,fields","Top-level $select returns item metadata. To select SharePoint custom columns use $expand=fields($select=Column1,Column2).",https://learn.microsoft.com/en-us/graph/api/resources/listitem?view=graph-rest-1.0,Sites.Read.All
Sites,list_site_pages,GET,/sites/{site-id}/pages,baseSitePage collection,"id,name,title,webUrl,createdDateTime,lastModifiedDateTime,publishingState,pageLayout","?$select=id,name,title,webUrl,createdDateTime,lastModifiedDateTime,publishingState,pageLayout",List modern site pages.,https://learn.microsoft.com/en-us/graph/api/resources/basesitepage?view=graph-rest-1.0,Sites.Read.All
Sites,list_site_permissions,GET,/sites/{site-id}/permissions,permission collection,"id,roles,grantedTo,grantedToIdentitiesV2,link,invitation,shareId,expirationDateTime,hasPassword","?$select=id,roles,grantedTo,grantedToIdentitiesV2,link,invitation,shareId,expirationDateTime,hasPassword",Site permissions.,https://learn.microsoft.com/en-us/graph/api/resources/permission?view=graph-rest-1.0,Sites.Read.All
Files,get_my_drive,GET,/me/drive,drive,"id,driveType,name,owner,quota,webUrl,createdDateTime,lastModifiedDateTime","?$select=id,driveType,name,owner,quota,webUrl,createdDateTime,lastModifiedDateTime",Signed-in user's default drive.,https://learn.microsoft.com/en-us/graph/api/resources/drive?view=graph-rest-1.0,Files.Read; Files.ReadWrite
Files,get_drive,GET,/drives/{drive-id},drive,"id,driveType,name,owner,quota,webUrl,createdDateTime,lastModifiedDateTime","?$select=id,driveType,name,owner,quota,webUrl,createdDateTime,lastModifiedDateTime",Get a drive by ID.,https://learn.microsoft.com/en-us/graph/api/resources/drive?view=graph-rest-1.0,Files.Read.All; Files.ReadWrite.All
Files,list_root_children,GET,/me/drive/root/children,driveItem collection,"id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared","?$select=id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared",List root drive items for signed-in user.,https://learn.microsoft.com/en-us/graph/api/resources/driveitem?view=graph-rest-1.0,Files.Read; Files.ReadWrite
Files,get_drive_item,GET,/drives/{drive-id}/items/{item-id},driveItem,"id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared","?$select=id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared",Get a file/folder item by ID.,https://learn.microsoft.com/en-us/graph/api/resources/driveitem?view=graph-rest-1.0,Files.Read; Files.ReadWrite; Files.Read.All; Files.ReadWrite.All; Files.Read.Selected; Files.ReadWrite.Selected; Files.ReadWrite.AppFolder
Files,list_item_children,GET,/drives/{drive-id}/items/{item-id}/children,driveItem collection,"id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared","?$select=id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared",List children of a folder item.,https://learn.microsoft.com/en-us/graph/api/resources/driveitem?view=graph-rest-1.0,Files.Read; Files.ReadWrite; Files.Read.All; Files.ReadWrite.All; Files.Read.Selected; Files.ReadWrite.Selected; Files.ReadWrite.AppFolder
Files,search_drive_items,GET,/me/drive/root/search(q='{query}'),driveItem collection,"id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared","?$select=id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared",Search signed-in user's drive.,https://learn.microsoft.com/en-us/graph/api/resources/driveitem?view=graph-rest-1.0,Files.Read; Files.ReadWrite
Files,list_recent_files,GET,/me/drive/recent,driveItem collection,"id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared","?$select=id,name,webUrl,size,createdDateTime,lastModifiedDateTime,createdBy,lastModifiedBy,parentReference,file,folder,package,shared",Recent files for signed-in user.,https://learn.microsoft.com/en-us/graph/api/resources/driveitem?view=graph-rest-1.0,Files.Read; Files.ReadWrite
