server,function,method,graph_path,return_resource,select_fields,select_parameter,notes,source_url
Mail,delta_messages,GET,/me/mailFolders/{folder-id}/messages/delta,message collection,"id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink","?$select=id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink",,https://learn.microsoft.com/en-us/graph/api/message-delta?view=graph-rest-1.0
Mail,list_mail_folders,GET,/me/mailFolders,mailFolder collection,"id,displayName,parentFolderId,childFolderCount,totalItemCount,unreadItemCount","?$select=id,displayName,parentFolderId,childFolderCount,totalItemCount,unreadItemCount",,https://learn.microsoft.com/en-us/graph/api/resources/mailfolder?view=graph-rest-1.0
Mail,get_mail_folder,GET,/me/mailFolders/{folder-id},mailFolder,"id,displayName,parentFolderId,childFolderCount,totalItemCount,unreadItemCount","?$select=id,displayName,parentFolderId,childFolderCount,totalItemCount,unreadItemCount",,https://learn.microsoft.com/en-us/graph/api/resources/mailfolder?view=graph-rest-1.0
Mail,list_child_folders,GET,/me/mailFolders/{folder-id}/childFolders,mailFolder collection,"id,displayName,parentFolderId,childFolderCount,totalItemCount,unreadItemCount","?$select=id,displayName,parentFolderId,childFolderCount,totalItemCount,unreadItemCount",,https://learn.microsoft.com/en-us/graph/api/resources/mailfolder?view=graph-rest-1.0
Mail,list_attachments,GET,/me/messages/{message-id}/attachments,attachment collection,"id,name,contentType,size,isInline,lastModifiedDateTime","?$select=id,name,contentType,size,isInline,lastModifiedDateTime",,https://learn.microsoft.com/en-us/graph/api/message-list-attachments?view=graph-rest-1.0
Mail,get_attachment,GET,/me/messages/{message-id}/attachments/{attachment-id},attachment,"id,name,contentType,size,isInline,lastModifiedDateTime","?$select=id,name,contentType,size,isInline,lastModifiedDateTime",,https://learn.microsoft.com/en-us/graph/api/attachment-get?view=graph-rest-1.0
Mail,list_message_rules,GET,/me/mailFolders/inbox/messageRules,messageRule collection,"id,displayName,sequence,isEnabled,hasError,isReadOnly,conditions,actions,exceptions","?$select=id,displayName,sequence,isEnabled,hasError,isReadOnly,conditions,actions,exceptions",,https://learn.microsoft.com/en-us/graph/api/resources/messagerule?view=graph-rest-1.0
Mail,get_message_rule,GET,/me/mailFolders/inbox/messageRules/{messageRule-id},messageRule,"id,displayName,sequence,isEnabled,hasError,isReadOnly,conditions,actions,exceptions","?$select=id,displayName,sequence,isEnabled,hasError,isReadOnly,conditions,actions,exceptions",,https://learn.microsoft.com/en-us/graph/api/resources/messagerule?view=graph-rest-1.0
Mail,list_outlook_categories,GET,/me/outlook/masterCategories,outlookCategory collection,"id,displayName,color","?$select=id,displayName,color",,https://learn.microsoft.com/en-us/graph/api/resources/outlookcategory?view=graph-rest-1.0
Mailbox Settings,get_mailbox_settings,GET,/me/mailboxSettings,mailboxSettings,"automaticRepliesSetting,dateFormat,delegateMeetingMessageDeliveryOptions,language,locale,timeFormat,timeZone,workingHours,userPurpose","?$select=automaticRepliesSetting,dateFormat,delegateMeetingMessageDeliveryOptions,language,locale,timeFormat,timeZone,workingHours,userPurpose",,https://learn.microsoft.com/en-us/graph/api/resources/mailboxsettings?view=graph-rest-1.0
Mailbox Settings,update_mailbox_settings,PATCH,/me/mailboxSettings,mailboxSettings,N/A,N/A,PATCH updates settings from a request body; $select is not used for the update call.,https://learn.microsoft.com/en-us/graph/api/user-update-mailboxsettings?view=graph-rest-1.0
Teams Chat,list_chats,GET,/me/chats,chat collection,"id,chatType,topic,createdDateTime,lastUpdatedDateTime,webUrl,tenantId,onlineMeetingInfo,viewpoint","?$select=id,chatType,topic,createdDateTime,lastUpdatedDateTime,webUrl,tenantId,onlineMeetingInfo,viewpoint",,https://learn.microsoft.com/en-us/graph/api/resources/chat?view=graph-rest-1.0
Teams Chat,get_chat,GET,/chats/{chat-id},chat,"id,chatType,topic,createdDateTime,lastUpdatedDateTime,webUrl,tenantId,onlineMeetingInfo,viewpoint","?$select=id,chatType,topic,createdDateTime,lastUpdatedDateTime,webUrl,tenantId,onlineMeetingInfo,viewpoint",,https://learn.microsoft.com/en-us/graph/api/chat-get?view=graph-rest-1.0
Teams Chat,list_chat_members,GET,/chats/{chat-id}/members,conversationMember collection,"id,displayName,roles,visibleHistoryStartDateTime,userId,email,tenantId","?$select=id,displayName,roles,visibleHistoryStartDateTime,userId,email,tenantId",,https://learn.microsoft.com/en-us/graph/api/chat-list-members?view=graph-rest-1.0
Teams Chat,get_chat_member,GET,/chats/{chat-id}/members/{membership-id},conversationMember,"id,displayName,roles,visibleHistoryStartDateTime,userId,email,tenantId","?$select=id,displayName,roles,visibleHistoryStartDateTime,userId,email,tenantId",,https://learn.microsoft.com/en-us/graph/api/chat-get-members?view=graph-rest-1.0
Teams Chat,list_chat_messages,GET,/chats/{chat-id}/messages,chatMessage collection,"id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions","?$select=id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions",,https://learn.microsoft.com/en-us/graph/api/chat-list-messages?view=graph-rest-1.0
Teams Chat,get_chat_message,GET,/chats/{chat-id}/messages/{message-id},chatMessage,"id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions","?$select=id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions",,https://learn.microsoft.com/en-us/graph/api/chatmessage-get?view=graph-rest-1.0
Teams Chat,list_chat_message_hosted_contents,GET,/chats/{chat-id}/messages/{message-id}/hostedContents,chatMessageHostedContent collection,"id,contentBytes,contentType","?$select=id,contentBytes,contentType",,https://learn.microsoft.com/en-us/graph/api/chatmessage-list-hostedcontents?view=graph-rest-1.0
Teams Chat,get_chat_message_hosted_content,GET,/chats/{chat-id}/messages/{message-id}/hostedContents/{hosted-content-id},chatMessageHostedContent,"id,contentBytes,contentType","?$select=id,contentBytes,contentType",,https://learn.microsoft.com/en-us/graph/api/chatmessagehostedcontent-get?view=graph-rest-1.0
Teams Chat,list_chat_tabs,GET,/chats/{chat-id}/tabs,teamsTab collection,"id,displayName,webUrl,configuration,teamsApp","?$select=id,displayName,webUrl,configuration,teamsApp",,https://learn.microsoft.com/en-us/graph/api/chat-list-tabs?view=graph-rest-1.0
Teams Chat,list_chat_installed_apps,GET,/chats/{chat-id}/installedApps,teamsAppInstallation collection,"id,teamsApp,teamsAppDefinition","?$select=id,teamsApp,teamsAppDefinition",,https://learn.microsoft.com/en-us/graph/api/chat-list-installedapps?view=graph-rest-1.0
Teams Channel,list_channels,GET,/teams/{team-id}/channels,channel collection,"id,displayName,description,email,webUrl,createdDateTime,membershipType,isArchived,tenantId,summary","?$select=id,displayName,description,email,webUrl,createdDateTime,membershipType,isArchived,tenantId,summary",,https://learn.microsoft.com/en-us/graph/api/channel-list?view=graph-rest-1.0
Teams Channel,get_channel,GET,/teams/{team-id}/channels/{channel-id},channel,"id,displayName,description,email,webUrl,createdDateTime,membershipType,isArchived,tenantId,summary","?$select=id,displayName,description,email,webUrl,createdDateTime,membershipType,isArchived,tenantId,summary",,https://learn.microsoft.com/en-us/graph/api/channel-get?view=graph-rest-1.0
Teams Channel,list_channel_messages,GET,/teams/{team-id}/channels/{channel-id}/messages,chatMessage collection,"id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions","?$select=id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions",,https://learn.microsoft.com/en-us/graph/api/channel-list-messages?view=graph-rest-1.0
Teams Channel,get_channel_message,GET,/teams/{team-id}/channels/{channel-id}/messages/{message-id},chatMessage,"id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions","?$select=id,replyToId,etag,messageType,createdDateTime,lastModifiedDateTime,lastEditedDateTime,deletedDateTime,subject,summary,chatId,importance,locale,webUrl,from,body,attachments,mentions,reactions",,https://learn.microsoft.com/en-us/graph/api/chatmessage-get?view=graph-rest-1.0
People,list_people,GET,/me/people,person collection,"id,displayName,givenName,surname,userPrincipalName,scoredEmailAddresses,phones,jobTitle,companyName,department,officeLocation,personType,isFavorite","?$select=id,displayName,givenName,surname,userPrincipalName,scoredEmailAddresses,phones,jobTitle,companyName,department,officeLocation,personType,isFavorite",,https://learn.microsoft.com/en-us/graph/api/resources/person?view=graph-rest-1.0
People,search_people,GET,"/me/people?$search=""{query}""",person collection,"id,displayName,givenName,surname,userPrincipalName,scoredEmailAddresses,phones,jobTitle,companyName,department,officeLocation,personType,isFavorite","&$select=id,displayName,givenName,surname,userPrincipalName,scoredEmailAddresses,phones,jobTitle,companyName,department,officeLocation,personType,isFavorite","$search already uses a query parameter, so append &$select.",https://learn.microsoft.com/en-us/graph/api/user-list-people?view=graph-rest-1.0
